Week,23 Uhr:
2020-03-01,7
2020-03-08,7
2020-03-15,21
2020-03-22,21
2020-03-29,0
2020-04-05,0
2020-04-12,22
2020-04-19,14
2020-04-26,21
2020-05-03,7
2020-05-10,7
2020-05-17,22
2020-05-24,0
2020-05-31,0
2020-06-07,14
2020-06-14,7
2020-06-21,23
2020-06-28,7
2020-07-05,0
2020-07-12,8
2020-07-19,17
2020-07-26,8
2020-08-02,0
2020-08-09,8
2020-08-16,39
2020-08-23,8
2020-08-30,0
2020-09-06,8
2020-09-13,16
2020-09-20,8
2020-09-27,23
2020-10-04,0
2020-10-11,100
2020-10-18,90
2020-10-25,72
2020-11-01,22
2020-11-08,39
2020-11-15,16
2020-11-22,8
2020-11-29,15
2020-12-06,15
2020-12-13,23
2020-12-20,35
2020-12-27,25
2021-01-03,0
2021-01-10,7
2021-01-17,0
2021-01-24,22
2021-01-31,14
2021-02-07,8
2021-02-14,23
2021-02-21,23
2021-02-28,15
