Week,Akademische:
2020-03-01,0
2020-03-08,33
2020-03-15,16
2020-03-22,0
2020-03-29,49
2020-04-05,71
2020-04-12,51
2020-04-19,100
2020-04-26,16
2020-05-03,0
2020-05-10,66
2020-05-17,52
2020-05-24,51
2020-05-31,66
2020-06-07,51
2020-06-14,17
2020-06-21,0
2020-06-28,34
2020-07-05,37
2020-07-12,40
2020-07-19,59
2020-07-26,39
2020-08-02,0
2020-08-09,36
2020-08-16,19
2020-08-23,55
2020-08-30,19
2020-09-06,38
2020-09-13,56
2020-09-20,37
2020-09-27,18
2020-10-04,56
2020-10-11,39
2020-10-18,39
2020-10-25,56
2020-11-01,34
2020-11-08,18
2020-11-15,37
2020-11-22,18
2020-11-29,18
2020-12-06,18
2020-12-13,18
2020-12-20,21
2020-12-27,39
2021-01-03,72
2021-01-10,0
2021-01-17,68
2021-01-24,34
2021-01-31,51
2021-02-07,53
2021-02-14,89
2021-02-21,18
2021-02-28,53
