Week,Alltagsmaske:
2020-03-01,0
2020-03-08,0
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,35
2020-04-19,85
2020-04-26,100
2020-05-03,17
2020-05-10,17
2020-05-17,18
2020-05-24,35
2020-05-31,0
2020-06-07,0
2020-06-14,0
2020-06-21,18
2020-06-28,70
2020-07-05,19
2020-07-12,41
2020-07-19,20
2020-07-26,20
2020-08-02,59
2020-08-09,55
2020-08-16,95
2020-08-23,76
2020-08-30,76
2020-09-06,19
2020-09-13,0
2020-09-20,19
2020-09-27,38
2020-10-04,38
2020-10-11,20
2020-10-18,99
2020-10-25,96
2020-11-01,70
2020-11-08,37
2020-11-15,37
2020-11-22,55
2020-11-29,19
2020-12-06,18
2020-12-13,36
2020-12-20,21
2020-12-27,0
2021-01-03,0
2021-01-10,18
2021-01-17,17
2021-01-24,17
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,18
