Week,Anforderungen:
2020-03-01,78
2020-03-08,69
2020-03-15,48
2020-03-22,69
2020-03-29,50
2020-04-05,63
2020-04-12,35
2020-04-19,64
2020-04-26,68
2020-05-03,80
2020-05-10,51
2020-05-17,69
2020-05-24,73
2020-05-31,58
2020-06-07,58
2020-06-14,67
2020-06-21,54
2020-06-28,60
2020-07-05,44
2020-07-12,69
2020-07-19,67
2020-07-26,50
2020-08-02,40
2020-08-09,49
2020-08-16,80
2020-08-23,81
2020-08-30,80
2020-09-06,71
2020-09-13,70
2020-09-20,100
2020-09-27,68
2020-10-04,57
2020-10-11,61
2020-10-18,62
2020-10-25,75
2020-11-01,36
2020-11-08,75
2020-11-15,50
2020-11-22,58
2020-11-29,49
2020-12-06,67
2020-12-13,65
2020-12-20,53
2020-12-27,35
2021-01-03,57
2021-01-10,69
2021-01-17,74
2021-01-24,66
2021-01-31,99
2021-02-07,66
2021-02-14,43
2021-02-21,73
2021-02-28,85
