Week,Angabe:
2020-03-01,53
2020-03-08,23
2020-03-15,51
2020-03-22,59
2020-03-29,55
2020-04-05,35
2020-04-12,61
2020-04-19,42
2020-04-26,68
2020-05-03,60
2020-05-10,46
2020-05-17,43
2020-05-24,56
2020-05-31,28
2020-06-07,48
2020-06-14,51
2020-06-21,64
2020-06-28,39
2020-07-05,26
2020-07-12,27
2020-07-19,100
2020-07-26,76
2020-08-02,32
2020-08-09,50
2020-08-16,52
2020-08-23,67
2020-08-30,56
2020-09-06,59
2020-09-13,74
2020-09-20,37
2020-09-27,87
2020-10-04,47
2020-10-11,50
2020-10-18,70
2020-10-25,52
2020-11-01,43
2020-11-08,57
2020-11-15,41
2020-11-22,45
2020-11-29,50
2020-12-06,20
2020-12-13,54
2020-12-20,46
2020-12-27,49
2021-01-03,55
2021-01-10,67
2021-01-17,62
2021-01-24,57
2021-01-31,43
2021-02-07,70
2021-02-14,60
2021-02-21,56
2021-02-28,49
