Week,Aufnahme:
2020-03-01,56
2020-03-08,83
2020-03-15,51
2020-03-22,55
2020-03-29,64
2020-04-05,72
2020-04-12,50
2020-04-19,80
2020-04-26,73
2020-05-03,100
2020-05-10,75
2020-05-17,75
2020-05-24,93
2020-05-31,55
2020-06-07,42
2020-06-14,68
2020-06-21,55
2020-06-28,83
2020-07-05,55
2020-07-12,63
2020-07-19,64
2020-07-26,51
2020-08-02,47
2020-08-09,42
2020-08-16,52
2020-08-23,62
2020-08-30,61
2020-09-06,85
2020-09-13,77
2020-09-20,58
2020-09-27,70
2020-10-04,82
2020-10-11,42
2020-10-18,52
2020-10-25,53
2020-11-01,48
2020-11-08,73
2020-11-15,84
2020-11-22,60
2020-11-29,62
2020-12-06,62
2020-12-13,59
2020-12-20,84
2020-12-27,65
2021-01-03,51
2021-01-10,78
2021-01-17,74
2021-01-24,76
2021-01-31,67
2021-02-07,82
2021-02-14,70
2021-02-21,96
2021-02-28,67
