Week,Behörde
2020-03-01,58
2020-03-08,34
2020-03-15,68
2020-03-22,58
2020-03-29,46
2020-04-05,50
2020-04-12,52
2020-04-19,34
2020-04-26,46
2020-05-03,59
2020-05-10,42
2020-05-17,62
2020-05-24,56
2020-05-31,50
2020-06-07,73
2020-06-14,69
2020-06-21,63
2020-06-28,63
2020-07-05,33
2020-07-12,45
2020-07-19,60
2020-07-26,30
2020-08-02,53
2020-08-09,37
2020-08-16,66
2020-08-23,42
2020-08-30,66
2020-09-06,48
2020-09-13,48
2020-09-20,100
2020-09-27,47
2020-10-04,47
2020-10-11,70
2020-10-18,59
2020-10-25,48
2020-11-01,30
2020-11-08,47
2020-11-15,23
2020-11-22,55
2020-11-29,46
2020-12-06,50
2020-12-13,68
2020-12-20,32
2020-12-27,30
2021-01-03,36
2021-01-10,70
2021-01-17,31
2021-01-24,48
2021-01-31,48
2021-02-07,45
2021-02-14,36
2021-02-21,50
2021-02-28,36
