Week,Betreuung
2020-03-01,60
2020-03-08,81
2020-03-15,100
2020-03-22,71
2020-03-29,44
2020-04-05,48
2020-04-12,61
2020-04-19,61
2020-04-26,38
2020-05-03,54
2020-05-10,72
2020-05-17,77
2020-05-24,47
2020-05-31,45
2020-06-07,56
2020-06-14,45
2020-06-21,56
2020-06-28,30
2020-07-05,34
2020-07-12,56
2020-07-19,34
2020-07-26,61
2020-08-02,55
2020-08-09,54
2020-08-16,45
2020-08-23,53
2020-08-30,50
2020-09-06,39
2020-09-13,45
2020-09-20,52
2020-09-27,63
2020-10-04,52
2020-10-11,53
2020-10-18,57
2020-10-25,54
2020-11-01,58
2020-11-08,46
2020-11-15,59
2020-11-22,36
2020-11-29,42
2020-12-06,48
2020-12-13,53
2020-12-20,22
2020-12-27,41
2021-01-03,75
2021-01-10,49
2021-01-17,69
2021-01-24,42
2021-01-31,50
2021-02-07,45
2021-02-14,74
2021-02-21,46
2021-02-28,68
