Week,Betrieb:
2020-03-01,38
2020-03-08,50
2020-03-15,100
2020-03-22,50
2020-03-29,62
2020-04-05,36
2020-04-12,41
2020-04-19,42
2020-04-26,48
2020-05-03,52
2020-05-10,47
2020-05-17,51
2020-05-24,47
2020-05-31,52
2020-06-07,38
2020-06-14,49
2020-06-21,56
2020-06-28,48
2020-07-05,40
2020-07-12,39
2020-07-19,28
2020-07-26,35
2020-08-02,39
2020-08-09,53
2020-08-16,70
2020-08-23,44
2020-08-30,58
2020-09-06,47
2020-09-13,35
2020-09-20,50
2020-09-27,46
2020-10-04,28
2020-10-11,42
2020-10-18,43
2020-10-25,65
2020-11-01,56
2020-11-08,44
2020-11-15,57
2020-11-22,43
2020-11-29,45
2020-12-06,48
2020-12-13,43
2020-12-20,22
2020-12-27,28
2021-01-03,24
2021-01-10,32
2021-01-17,55
2021-01-24,40
2021-01-31,46
2021-02-07,60
2021-02-14,49
2021-02-21,52
2021-02-28,52
