Week,Coronabetreuungsverordnung:
2020-03-01,0
2020-03-08,0
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,0
2020-04-19,15
2020-04-26,0
2020-05-03,15
2020-05-10,15
2020-05-17,48
2020-05-24,31
2020-05-31,30
2020-06-07,0
2020-06-14,46
2020-06-21,0
2020-06-28,16
2020-07-05,0
2020-07-12,18
2020-07-19,0
2020-07-26,18
2020-08-02,18
2020-08-09,50
2020-08-16,17
2020-08-23,0
2020-08-30,17
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,17
2020-10-04,34
2020-10-11,18
2020-10-18,0
2020-10-25,52
2020-11-01,47
2020-11-08,50
2020-11-15,34
2020-11-22,0
2020-11-29,17
2020-12-06,33
2020-12-13,33
2020-12-20,19
2020-12-27,0
2021-01-03,50
2021-01-10,32
2021-01-17,0
2021-01-24,47
2021-01-31,31
2021-02-07,0
2021-02-14,49
2021-02-21,100
2021-02-28,0
