Week,Coronaeinreiseverordnung:
2020-03-01,0
2020-03-08,0
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,0
2020-04-19,0
2020-04-26,0
2020-05-03,12
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,0
2020-06-14,0
2020-06-21,0
2020-06-28,13
2020-07-05,0
2020-07-12,29
2020-07-19,29
2020-07-26,0
2020-08-02,0
2020-08-09,0
2020-08-16,0
2020-08-23,0
2020-08-30,14
2020-09-06,14
2020-09-13,14
2020-09-20,0
2020-09-27,54
2020-10-04,41
2020-10-11,15
2020-10-18,100
2020-10-25,0
2020-11-01,13
2020-11-08,27
2020-11-15,14
2020-11-22,40
2020-11-29,27
2020-12-06,13
2020-12-13,26
2020-12-20,15
2020-12-27,0
2021-01-03,0
2021-01-10,25
2021-01-17,25
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,13
2021-02-21,0
2021-02-28,0
