Week,Dienstes:
2020-03-01,76
2020-03-08,24
2020-03-15,0
2020-03-22,72
2020-03-29,48
2020-04-05,0
2020-04-12,25
2020-04-19,0
2020-04-26,48
2020-05-03,48
2020-05-10,0
2020-05-17,50
2020-05-24,0
2020-05-31,48
2020-06-07,50
2020-06-14,0
2020-06-21,52
2020-06-28,77
2020-07-05,27
2020-07-12,0
2020-07-19,29
2020-07-26,28
2020-08-02,0
2020-08-09,52
2020-08-16,0
2020-08-23,27
2020-08-30,53
2020-09-06,0
2020-09-13,0
2020-09-20,55
2020-09-27,27
2020-10-04,27
2020-10-11,0
2020-10-18,0
2020-10-25,27
2020-11-01,25
2020-11-08,0
2020-11-15,27
2020-11-22,26
2020-11-29,79
2020-12-06,0
2020-12-13,26
2020-12-20,0
2020-12-27,0
2021-01-03,78
2021-01-10,50
2021-01-17,100
2021-01-24,0
2021-01-31,50
2021-02-07,52
2021-02-14,0
2021-02-21,0
2021-02-28,26
