Week,Einreise:
2020-03-01,10
2020-03-08,100
2020-03-15,54
2020-03-22,18
2020-03-29,12
2020-04-05,17
2020-04-12,16
2020-04-19,16
2020-04-26,19
2020-05-03,27
2020-05-10,36
2020-05-17,29
2020-05-24,25
2020-05-31,26
2020-06-07,28
2020-06-14,24
2020-06-21,51
2020-06-28,44
2020-07-05,29
2020-07-12,25
2020-07-19,22
2020-07-26,20
2020-08-02,18
2020-08-09,23
2020-08-16,19
2020-08-23,24
2020-08-30,20
2020-09-06,16
2020-09-13,21
2020-09-20,22
2020-09-27,24
2020-10-04,38
2020-10-11,36
2020-10-18,25
2020-10-25,19
2020-11-01,13
2020-11-08,14
2020-11-15,17
2020-11-22,16
2020-11-29,20
2020-12-06,20
2020-12-13,23
2020-12-20,21
2020-12-27,14
2021-01-03,20
2021-01-10,18
2021-01-17,20
2021-01-24,20
2021-01-31,16
2021-02-07,18
2021-02-14,20
2021-02-21,26
2021-02-28,28
