Week,Fest:
2020-03-01,69
2020-03-08,44
2020-03-15,54
2020-03-22,55
2020-03-29,62
2020-04-05,75
2020-04-12,65
2020-04-19,54
2020-04-26,47
2020-05-03,70
2020-05-10,75
2020-05-17,75
2020-05-24,72
2020-05-31,60
2020-06-07,66
2020-06-14,56
2020-06-21,50
2020-06-28,65
2020-07-05,65
2020-07-12,60
2020-07-19,97
2020-07-26,100
2020-08-02,44
2020-08-09,76
2020-08-16,61
2020-08-23,69
2020-08-30,54
2020-09-06,63
2020-09-13,64
2020-09-20,68
2020-09-27,64
2020-10-04,52
2020-10-11,47
2020-10-18,48
2020-10-25,51
2020-11-01,59
2020-11-08,55
2020-11-15,46
2020-11-22,51
2020-11-29,50
2020-12-06,58
2020-12-13,84
2020-12-20,98
2020-12-27,53
2021-01-03,39
2021-01-10,63
2021-01-17,51
2021-01-24,62
2021-01-31,76
2021-02-07,67
2021-02-14,63
2021-02-21,68
2021-02-28,51
