Week,Gebiet:
2020-03-01,67
2020-03-08,57
2020-03-15,41
2020-03-22,37
2020-03-29,27
2020-04-05,46
2020-04-12,21
2020-04-19,37
2020-04-26,25
2020-05-03,28
2020-05-10,30
2020-05-17,51
2020-05-24,42
2020-05-31,46
2020-06-07,40
2020-06-14,64
2020-06-21,78
2020-06-28,60
2020-07-05,59
2020-07-12,84
2020-07-19,57
2020-07-26,52
2020-08-02,84
2020-08-09,60
2020-08-16,37
2020-08-23,50
2020-08-30,54
2020-09-06,53
2020-09-13,100
2020-09-20,84
2020-09-27,58
2020-10-04,98
2020-10-11,99
2020-10-18,85
2020-10-25,38
2020-11-01,29
2020-11-08,55
2020-11-15,41
2020-11-22,28
2020-11-29,28
2020-12-06,38
2020-12-13,38
2020-12-20,16
2020-12-27,33
2021-01-03,79
2021-01-10,58
2021-01-17,46
2021-01-24,46
2021-01-31,32
2021-02-07,50
2021-02-14,46
2021-02-21,59
2021-02-28,53
