Week,Gesundheitsamt:
2020-03-01,34
2020-03-08,67
2020-03-15,100
2020-03-22,52
2020-03-29,35
2020-04-05,25
2020-04-12,21
2020-04-19,20
2020-04-26,19
2020-05-03,17
2020-05-10,21
2020-05-17,14
2020-05-24,14
2020-05-31,15
2020-06-07,12
2020-06-14,14
2020-06-21,26
2020-06-28,18
2020-07-05,18
2020-07-12,16
2020-07-19,19
2020-07-26,21
2020-08-02,26
2020-08-09,30
2020-08-16,34
2020-08-23,29
2020-08-30,26
2020-09-06,30
2020-09-13,34
2020-09-20,31
2020-09-27,35
2020-10-04,51
2020-10-11,63
2020-10-18,67
2020-10-25,73
2020-11-01,63
2020-11-08,58
2020-11-15,48
2020-11-22,37
2020-11-29,38
2020-12-06,40
2020-12-13,38
2020-12-20,31
2020-12-27,25
2021-01-03,26
2021-01-10,24
2021-01-17,28
2021-01-24,21
2021-01-31,20
2021-02-07,19
2021-02-14,17
2021-02-21,22
2021-02-28,28
