Week,Gesundheitsbehörde:
2020-03-01,0
2020-03-08,93
2020-03-15,18
2020-03-22,37
2020-03-29,18
2020-04-05,0
2020-04-12,19
2020-04-19,0
2020-04-26,37
2020-05-03,0
2020-05-10,0
2020-05-17,20
2020-05-24,0
2020-05-31,19
2020-06-07,19
2020-06-14,75
2020-06-21,40
2020-06-28,0
2020-07-05,42
2020-07-12,67
2020-07-19,22
2020-07-26,44
2020-08-02,0
2020-08-09,40
2020-08-16,0
2020-08-23,0
2020-08-30,21
2020-09-06,21
2020-09-13,63
2020-09-20,21
2020-09-27,62
2020-10-04,21
2020-10-11,22
2020-10-18,22
2020-10-25,21
2020-11-01,19
2020-11-08,0
2020-11-15,41
2020-11-22,0
2020-11-29,41
2020-12-06,20
2020-12-13,0
2020-12-20,0
2020-12-27,22
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,19
2021-02-07,0
2021-02-14,100
2021-02-21,20
2021-02-28,39
