Week,Getränken:
2020-03-01,0
2020-03-08,23
2020-03-15,0
2020-03-22,22
2020-03-29,0
2020-04-05,0
2020-04-12,0
2020-04-19,45
2020-04-26,44
2020-05-03,0
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,68
2020-06-07,0
2020-06-14,23
2020-06-21,73
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,27
2020-07-26,53
2020-08-02,26
2020-08-09,49
2020-08-16,25
2020-08-23,76
2020-08-30,0
2020-09-06,52
2020-09-13,25
2020-09-20,76
2020-09-27,0
2020-10-04,76
2020-10-11,0
2020-10-18,26
2020-10-25,26
2020-11-01,23
2020-11-08,0
2020-11-15,100
2020-11-22,0
2020-11-29,0
2020-12-06,24
2020-12-13,0
2020-12-20,0
2020-12-27,27
2021-01-03,25
2021-01-10,71
2021-01-17,23
2021-01-24,23
2021-01-31,70
2021-02-07,0
2021-02-14,24
2021-02-21,49
2021-02-28,48
