Week,Gewährleistung:
2020-03-01,52
2020-03-08,53
2020-03-15,41
2020-03-22,45
2020-03-29,53
2020-04-05,49
2020-04-12,38
2020-04-19,54
2020-04-26,73
2020-05-03,66
2020-05-10,78
2020-05-17,51
2020-05-24,100
2020-05-31,61
2020-06-07,81
2020-06-14,66
2020-06-21,79
2020-06-28,48
2020-07-05,83
2020-07-12,39
2020-07-19,79
2020-07-26,49
2020-08-02,81
2020-08-09,76
2020-08-16,37
2020-08-23,83
2020-08-30,91
2020-09-06,57
2020-09-13,42
2020-09-20,75
2020-09-27,73
2020-10-04,60
2020-10-11,74
2020-10-18,62
2020-10-25,46
2020-11-01,59
2020-11-08,83
2020-11-15,54
2020-11-22,62
2020-11-29,58
2020-12-06,76
2020-12-13,44
2020-12-20,26
2020-12-27,49
2021-01-03,62
2021-01-10,60
2021-01-17,51
2021-01-24,81
2021-01-31,68
2021-02-07,80
2021-02-14,80
2021-02-21,99
2021-02-28,48
