Week,Gremium:
2020-03-01,37
2020-03-08,12
2020-03-15,23
2020-03-22,23
2020-03-29,23
2020-04-05,12
2020-04-12,24
2020-04-19,35
2020-04-26,34
2020-05-03,0
2020-05-10,35
2020-05-17,24
2020-05-24,24
2020-05-31,23
2020-06-07,24
2020-06-14,23
2020-06-21,25
2020-06-28,24
2020-07-05,53
2020-07-12,42
2020-07-19,14
2020-07-26,27
2020-08-02,27
2020-08-09,63
2020-08-16,13
2020-08-23,13
2020-08-30,91
2020-09-06,80
2020-09-13,39
2020-09-20,92
2020-09-27,13
2020-10-04,26
2020-10-11,55
2020-10-18,14
2020-10-25,40
2020-11-01,12
2020-11-08,13
2020-11-15,39
2020-11-22,38
2020-11-29,13
2020-12-06,25
2020-12-13,37
2020-12-20,29
2020-12-27,0
2021-01-03,13
2021-01-10,24
2021-01-17,12
2021-01-24,36
2021-01-31,24
2021-02-07,100
2021-02-14,25
2021-02-21,51
2021-02-28,62
