Week,Gruppen:
2020-03-01,55
2020-03-08,57
2020-03-15,72
2020-03-22,58
2020-03-29,81
2020-04-05,57
2020-04-12,70
2020-04-19,69
2020-04-26,61
2020-05-03,47
2020-05-10,84
2020-05-17,50
2020-05-24,79
2020-05-31,68
2020-06-07,37
2020-06-14,55
2020-06-21,44
2020-06-28,50
2020-07-05,48
2020-07-12,62
2020-07-19,41
2020-07-26,44
2020-08-02,55
2020-08-09,53
2020-08-16,72
2020-08-23,33
2020-08-30,30
2020-09-06,59
2020-09-13,50
2020-09-20,57
2020-09-27,68
2020-10-04,70
2020-10-11,39
2020-10-18,56
2020-10-25,74
2020-11-01,70
2020-11-08,69
2020-11-15,84
2020-11-22,59
2020-11-29,57
2020-12-06,86
2020-12-13,75
2020-12-20,60
2020-12-27,52
2021-01-03,69
2021-01-10,93
2021-01-17,84
2021-01-24,91
2021-01-31,95
2021-02-07,57
2021-02-14,78
2021-02-21,100
2021-02-28,92
