Week,Hebammen:
2020-03-01,48
2020-03-08,39
2020-03-15,22
2020-03-22,100
2020-03-29,39
2020-04-05,48
2020-04-12,64
2020-04-19,74
2020-04-26,44
2020-05-03,45
2020-05-10,39
2020-05-17,71
2020-05-24,29
2020-05-31,67
2020-06-07,58
2020-06-14,79
2020-06-21,73
2020-06-28,47
2020-07-05,25
2020-07-12,40
2020-07-19,47
2020-07-26,33
2020-08-02,52
2020-08-09,61
2020-08-16,38
2020-08-23,63
2020-08-30,63
2020-09-06,32
2020-09-13,63
2020-09-20,70
2020-09-27,69
2020-10-04,76
2020-10-11,54
2020-10-18,46
2020-10-25,45
2020-11-01,46
2020-11-08,50
2020-11-15,50
2020-11-22,49
2020-11-29,31
2020-12-06,31
2020-12-13,36
2020-12-20,21
2020-12-27,66
2021-01-03,49
2021-01-10,76
2021-01-17,58
2021-01-24,81
2021-01-31,75
2021-02-07,79
2021-02-14,42
2021-02-21,43
2021-02-28,66
