Week,Hochschule:
2020-03-01,76
2020-03-08,93
2020-03-15,63
2020-03-22,43
2020-03-29,57
2020-04-05,38
2020-04-12,54
2020-04-19,68
2020-04-26,57
2020-05-03,54
2020-05-10,80
2020-05-17,57
2020-05-24,65
2020-05-31,60
2020-06-07,60
2020-06-14,85
2020-06-21,67
2020-06-28,91
2020-07-05,90
2020-07-12,74
2020-07-19,80
2020-07-26,78
2020-08-02,72
2020-08-09,63
2020-08-16,82
2020-08-23,86
2020-08-30,87
2020-09-06,91
2020-09-13,82
2020-09-20,100
2020-09-27,70
2020-10-04,89
2020-10-11,60
2020-10-18,66
2020-10-25,78
2020-11-01,59
2020-11-08,59
2020-11-15,48
2020-11-22,50
2020-11-29,58
2020-12-06,54
2020-12-13,38
2020-12-20,50
2020-12-27,45
2021-01-03,72
2021-01-10,66
2021-01-17,70
2021-01-24,67
2021-01-31,72
2021-02-07,58
2021-02-14,54
2021-02-21,65
2021-02-28,62
