Week,Hygiene
2020-03-01,50
2020-03-08,56
2020-03-15,100
2020-03-22,74
2020-03-29,35
2020-04-05,35
2020-04-12,57
2020-04-19,71
2020-04-26,60
2020-05-03,73
2020-05-10,83
2020-05-17,49
2020-05-24,43
2020-05-31,33
2020-06-07,25
2020-06-14,37
2020-06-21,32
2020-06-28,25
2020-07-05,26
2020-07-12,33
2020-07-19,21
2020-07-26,38
2020-08-02,39
2020-08-09,28
2020-08-16,33
2020-08-23,32
2020-08-30,34
2020-09-06,28
2020-09-13,29
2020-09-20,25
2020-09-27,28
2020-10-04,27
2020-10-11,28
2020-10-18,31
2020-10-25,22
2020-11-01,30
2020-11-08,21
2020-11-15,19
2020-11-22,18
2020-11-29,15
2020-12-06,15
2020-12-13,11
2020-12-20,17
2020-12-27,25
2021-01-03,18
2021-01-10,20
2021-01-17,10
2021-01-24,26
2021-01-31,27
2021-02-07,10
2021-02-14,17
2021-02-21,27
2021-02-28,30
