Week,Infektion:
2020-03-01,40
2020-03-08,53
2020-03-15,100
2020-03-22,54
2020-03-29,34
2020-04-05,38
2020-04-12,35
2020-04-19,22
2020-04-26,24
2020-05-03,28
2020-05-10,20
2020-05-17,23
2020-05-24,19
2020-05-31,15
2020-06-07,22
2020-06-14,20
2020-06-21,23
2020-06-28,10
2020-07-05,17
2020-07-12,24
2020-07-19,18
2020-07-26,20
2020-08-02,17
2020-08-09,27
2020-08-16,21
2020-08-23,20
2020-08-30,18
2020-09-06,14
2020-09-13,26
2020-09-20,21
2020-09-27,24
2020-10-04,28
2020-10-11,43
2020-10-18,41
2020-10-25,34
2020-11-01,37
2020-11-08,26
2020-11-15,26
2020-11-22,32
2020-11-29,28
2020-12-06,31
2020-12-13,39
2020-12-20,33
2020-12-27,37
2021-01-03,30
2021-01-10,28
2021-01-17,33
2021-01-24,24
2021-01-31,30
2021-02-07,23
2021-02-14,26
2021-02-21,31
2021-02-28,28
