Week,Infektionsschutzgesetz
2020-03-01,6
2020-03-08,12
2020-03-15,37
2020-03-22,21
2020-03-29,14
2020-04-05,10
2020-04-12,10
2020-04-19,8
2020-04-26,5
2020-05-03,20
2020-05-10,9
2020-05-17,5
2020-05-24,6
2020-05-31,4
2020-06-07,2
2020-06-14,6
2020-06-21,3
2020-06-28,7
2020-07-05,1
2020-07-12,4
2020-07-19,4
2020-07-26,4
2020-08-02,5
2020-08-09,3
2020-08-16,6
2020-08-23,7
2020-08-30,5
2020-09-06,5
2020-09-13,5
2020-09-20,6
2020-09-27,7
2020-10-04,6
2020-10-11,5
2020-10-18,7
2020-10-25,8
2020-11-01,11
2020-11-08,18
2020-11-15,100
2020-11-22,16
2020-11-29,6
2020-12-06,13
2020-12-13,11
2020-12-20,2
2020-12-27,2
2021-01-03,8
2021-01-10,3
2021-01-17,8
2021-01-24,8
2021-01-31,5
2021-02-07,6
2021-02-14,5
2021-02-21,6
2021-02-28,4
