Week,Kinder:
2020-03-01,73
2020-03-08,66
2020-03-15,66
2020-03-22,74
2020-03-29,82
2020-04-05,82
2020-04-12,77
2020-04-19,83
2020-04-26,78
2020-05-03,75
2020-05-10,77
2020-05-17,76
2020-05-24,74
2020-05-31,77
2020-06-07,77
2020-06-14,73
2020-06-21,70
2020-06-28,70
2020-07-05,76
2020-07-12,68
2020-07-19,70
2020-07-26,66
2020-08-02,70
2020-08-09,71
2020-08-16,77
2020-08-23,79
2020-08-30,97
2020-09-06,87
2020-09-13,73
2020-09-20,80
2020-09-27,83
2020-10-04,85
2020-10-11,76
2020-10-18,78
2020-10-25,83
2020-11-01,77
2020-11-08,84
2020-11-15,93
2020-11-22,92
2020-11-29,100
2020-12-06,93
2020-12-13,80
2020-12-20,73
2020-12-27,75
2021-01-03,78
2021-01-10,83
2021-01-17,84
2021-01-24,82
2021-01-31,84
2021-02-07,83
2021-02-14,83
2021-02-21,99
2021-02-28,89
