Week,Klassen:
2020-03-01,52
2020-03-08,30
2020-03-15,42
2020-03-22,36
2020-03-29,32
2020-04-05,41
2020-04-12,86
2020-04-19,47
2020-04-26,100
2020-05-03,59
2020-05-10,67
2020-05-17,58
2020-05-24,46
2020-05-31,40
2020-06-07,67
2020-06-14,82
2020-06-21,53
2020-06-28,51
2020-07-05,57
2020-07-12,53
2020-07-19,36
2020-07-26,57
2020-08-02,49
2020-08-09,55
2020-08-16,55
2020-08-23,38
2020-08-30,57
2020-09-06,72
2020-09-13,43
2020-09-20,37
2020-09-27,77
2020-10-04,46
2020-10-11,41
2020-10-18,64
2020-10-25,44
2020-11-01,27
2020-11-08,67
2020-11-15,58
2020-11-22,42
2020-11-29,53
2020-12-06,46
2020-12-13,46
2020-12-20,45
2020-12-27,43
2021-01-03,48
2021-01-10,42
2021-01-17,46
2021-01-24,54
2021-01-31,60
2021-02-07,44
2021-02-14,52
2021-02-21,67
2021-02-28,64
