Week,Kunden:
2020-03-01,63
2020-03-08,51
2020-03-15,90
2020-03-22,100
2020-03-29,68
2020-04-05,67
2020-04-12,51
2020-04-19,81
2020-04-26,62
2020-05-03,73
2020-05-10,50
2020-05-17,48
2020-05-24,72
2020-05-31,55
2020-06-07,65
2020-06-14,57
2020-06-21,57
2020-06-28,73
2020-07-05,69
2020-07-12,37
2020-07-19,69
2020-07-26,65
2020-08-02,65
2020-08-09,52
2020-08-16,57
2020-08-23,66
2020-08-30,50
2020-09-06,60
2020-09-13,40
2020-09-20,97
2020-09-27,63
2020-10-04,67
2020-10-11,71
2020-10-18,61
2020-10-25,66
2020-11-01,52
2020-11-08,80
2020-11-15,58
2020-11-22,87
2020-11-29,75
2020-12-06,76
2020-12-13,73
2020-12-20,37
2020-12-27,40
2021-01-03,61
2021-01-10,73
2021-01-17,89
2021-01-24,47
2021-01-31,49
2021-02-07,56
2021-02-14,69
2021-02-21,57
2021-02-28,57
