Week,Maske:
2020-03-01,7
2020-03-08,8
2020-03-15,15
2020-03-22,16
2020-03-29,25
2020-04-05,22
2020-04-12,25
2020-04-19,69
2020-04-26,55
2020-05-03,27
2020-05-10,24
2020-05-17,18
2020-05-24,13
2020-05-31,12
2020-06-07,11
2020-06-14,10
2020-06-21,10
2020-06-28,11
2020-07-05,12
2020-07-12,13
2020-07-19,12
2020-07-26,13
2020-08-02,19
2020-08-09,19
2020-08-16,18
2020-08-23,17
2020-08-30,15
2020-09-06,12
2020-09-13,11
2020-09-20,13
2020-09-27,16
2020-10-04,14
2020-10-11,23
2020-10-18,27
2020-10-25,37
2020-11-01,25
2020-11-08,21
2020-11-15,23
2020-11-22,17
2020-11-29,18
2020-12-06,26
2020-12-13,29
2020-12-20,16
2020-12-27,10
2021-01-03,12
2021-01-10,44
2021-01-17,100
2021-01-24,36
2021-01-31,16
2021-02-07,10
2021-02-14,12
2021-02-21,14
2021-02-28,12
