Week,Menschen:
2020-03-01,60
2020-03-08,75
2020-03-15,100
2020-03-22,90
2020-03-29,77
2020-04-05,63
2020-04-12,59
2020-04-19,67
2020-04-26,72
2020-05-03,65
2020-05-10,61
2020-05-17,54
2020-05-24,59
2020-05-31,55
2020-06-07,57
2020-06-14,62
2020-06-21,51
2020-06-28,54
2020-07-05,50
2020-07-12,54
2020-07-19,51
2020-07-26,45
2020-08-02,53
2020-08-09,46
2020-08-16,56
2020-08-23,55
2020-08-30,54
2020-09-06,56
2020-09-13,56
2020-09-20,57
2020-09-27,55
2020-10-04,55
2020-10-11,52
2020-10-18,54
2020-10-25,65
2020-11-01,55
2020-11-08,58
2020-11-15,58
2020-11-22,55
2020-11-29,60
2020-12-06,68
2020-12-13,70
2020-12-20,61
2020-12-27,72
2021-01-03,70
2021-01-10,84
2021-01-17,71
2021-01-24,73
2021-01-31,78
2021-02-07,65
2021-02-14,68
2021-02-21,72
2021-02-28,65
