Week,Mindestabstand:
2020-03-01,9
2020-03-08,27
2020-03-15,81
2020-03-22,89
2020-03-29,53
2020-04-05,58
2020-04-12,92
2020-04-19,36
2020-04-26,53
2020-05-03,90
2020-05-10,90
2020-05-17,28
2020-05-24,100
2020-05-31,89
2020-06-07,74
2020-06-14,73
2020-06-21,10
2020-06-28,57
2020-07-05,50
2020-07-12,32
2020-07-19,65
2020-07-26,11
2020-08-02,73
2020-08-09,49
2020-08-16,80
2020-08-23,40
2020-08-30,40
2020-09-06,62
2020-09-13,31
2020-09-20,31
2020-09-27,10
2020-10-04,20
2020-10-11,22
2020-10-18,52
2020-10-25,10
2020-11-01,28
2020-11-08,20
2020-11-15,60
2020-11-22,39
2020-11-29,29
2020-12-06,20
2020-12-13,29
2020-12-20,11
2020-12-27,42
2021-01-03,19
2021-01-10,19
2021-01-17,19
2021-01-24,19
2021-01-31,18
2021-02-07,19
2021-02-14,29
2021-02-21,39
2021-02-28,28
