Week,Mitglied:
2020-03-01,79
2020-03-08,54
2020-03-15,51
2020-03-22,92
2020-03-29,38
2020-04-05,55
2020-04-12,74
2020-04-19,60
2020-04-26,53
2020-05-03,48
2020-05-10,75
2020-05-17,82
2020-05-24,71
2020-05-31,84
2020-06-07,80
2020-06-14,84
2020-06-21,81
2020-06-28,72
2020-07-05,71
2020-07-12,86
2020-07-19,57
2020-07-26,77
2020-08-02,83
2020-08-09,65
2020-08-16,77
2020-08-23,73
2020-08-30,67
2020-09-06,41
2020-09-13,87
2020-09-20,84
2020-09-27,100
2020-10-04,67
2020-10-11,36
2020-10-18,49
2020-10-25,75
2020-11-01,83
2020-11-08,63
2020-11-15,80
2020-11-22,58
2020-11-29,76
2020-12-06,55
2020-12-13,74
2020-12-20,37
2020-12-27,56
2021-01-03,59
2021-01-10,53
2021-01-17,74
2021-01-24,46
2021-01-31,92
2021-02-07,77
2021-02-14,48
2021-02-21,46
2021-02-28,60
