Week,NRW:
2020-03-01,53
2020-03-08,99
2020-03-15,100
2020-03-22,80
2020-03-29,58
2020-04-05,53
2020-04-12,82
2020-04-19,69
2020-04-26,73
2020-05-03,98
2020-05-10,63
2020-05-17,61
2020-05-24,63
2020-05-31,60
2020-06-07,57
2020-06-14,52
2020-06-21,61
2020-06-28,50
2020-07-05,43
2020-07-12,46
2020-07-19,44
2020-07-26,48
2020-08-02,55
2020-08-09,60
2020-08-16,48
2020-08-23,54
2020-08-30,46
2020-09-06,48
2020-09-13,62
2020-09-20,48
2020-09-27,54
2020-10-04,55
2020-10-11,66
2020-10-18,60
2020-10-25,73
2020-11-01,44
2020-11-08,46
2020-11-15,44
2020-11-22,48
2020-11-29,45
2020-12-06,76
2020-12-13,77
2020-12-20,45
2020-12-27,52
2021-01-03,98
2021-01-10,56
2021-01-17,64
2021-01-24,54
2021-01-31,51
2021-02-07,74
2021-02-14,52
2021-02-21,54
2021-02-28,77
