Week,Personen
2020-03-01,39
2020-03-08,46
2020-03-15,38
2020-03-22,55
2020-03-29,61
2020-04-05,43
2020-04-12,42
2020-04-19,51
2020-04-26,63
2020-05-03,68
2020-05-10,72
2020-05-17,72
2020-05-24,100
2020-05-31,77
2020-06-07,83
2020-06-14,64
2020-06-21,53
2020-06-28,69
2020-07-05,61
2020-07-12,55
2020-07-19,58
2020-07-26,49
2020-08-02,50
2020-08-09,48
2020-08-16,55
2020-08-23,52
2020-08-30,53
2020-09-06,46
2020-09-13,50
2020-09-20,60
2020-09-27,53
2020-10-04,51
2020-10-11,74
2020-10-18,70
2020-10-25,67
2020-11-01,52
2020-11-08,52
2020-11-15,50
2020-11-22,46
2020-11-29,53
2020-12-06,60
2020-12-13,64
2020-12-20,67
2020-12-27,75
2021-01-03,60
2021-01-10,59
2021-01-17,58
2021-01-24,55
2021-01-31,54
2021-02-07,49
2021-02-14,51
2021-02-21,52
2021-02-28,45
