Week,Produktion:
2020-03-01,61
2020-03-08,66
2020-03-15,100
2020-03-22,82
2020-03-29,69
2020-04-05,65
2020-04-12,66
2020-04-19,84
2020-04-26,55
2020-05-03,69
2020-05-10,78
2020-05-17,49
2020-05-24,73
2020-05-31,50
2020-06-07,45
2020-06-14,59
2020-06-21,58
2020-06-28,69
2020-07-05,65
2020-07-12,77
2020-07-19,72
2020-07-26,45
2020-08-02,34
2020-08-09,43
2020-08-16,62
2020-08-23,56
2020-08-30,43
2020-09-06,56
2020-09-13,56
2020-09-20,59
2020-09-27,46
2020-10-04,47
2020-10-11,64
2020-10-18,40
2020-10-25,43
2020-11-01,66
2020-11-08,71
2020-11-15,38
2020-11-22,47
2020-11-29,63
2020-12-06,75
2020-12-13,54
2020-12-20,37
2020-12-27,49
2021-01-03,43
2021-01-10,81
2021-01-17,57
2021-01-24,68
2021-01-31,71
2021-02-07,61
2021-02-14,60
2021-02-21,74
2021-02-28,59
