Week,Quarantäne:
2020-03-01,25
2020-03-08,72
2020-03-15,100
2020-03-22,67
2020-03-29,36
2020-04-05,30
2020-04-12,18
2020-04-19,16
2020-04-26,17
2020-05-03,15
2020-05-10,31
2020-05-17,14
2020-05-24,12
2020-05-31,9
2020-06-07,16
2020-06-14,18
2020-06-21,30
2020-06-28,20
2020-07-05,15
2020-07-12,21
2020-07-19,16
2020-07-26,22
2020-08-02,16
2020-08-09,18
2020-08-16,25
2020-08-23,29
2020-08-30,21
2020-09-06,22
2020-09-13,26
2020-09-20,35
2020-09-27,35
2020-10-04,45
2020-10-11,43
2020-10-18,40
2020-10-25,45
2020-11-01,49
2020-11-08,46
2020-11-15,47
2020-11-22,44
2020-11-29,38
2020-12-06,44
2020-12-13,47
2020-12-20,36
2020-12-27,22
2021-01-03,24
2021-01-10,19
2021-01-17,21
2021-01-24,18
2021-01-31,15
2021-02-07,13
2021-02-14,17
2021-02-21,15
2021-02-28,16
