Week,Regelungen:
2020-03-01,9
2020-03-08,10
2020-03-15,43
2020-03-22,61
2020-03-29,7
2020-04-05,26
2020-04-12,47
2020-04-19,31
2020-04-26,35
2020-05-03,75
2020-05-10,32
2020-05-17,21
2020-05-24,49
2020-05-31,36
2020-06-07,44
2020-06-14,47
2020-06-21,20
2020-06-28,20
2020-07-05,17
2020-07-12,18
2020-07-19,6
2020-07-26,10
2020-08-02,14
2020-08-09,13
2020-08-16,19
2020-08-23,48
2020-08-30,19
2020-09-06,6
2020-09-13,16
2020-09-20,16
2020-09-27,23
2020-10-04,31
2020-10-11,92
2020-10-18,44
2020-10-25,100
2020-11-01,30
2020-11-08,19
2020-11-15,42
2020-11-22,56
2020-11-29,45
2020-12-06,54
2020-12-13,77
2020-12-20,23
2020-12-27,18
2021-01-03,57
2021-01-10,34
2021-01-17,48
2021-01-24,21
2021-01-31,16
2021-02-07,33
2021-02-14,11
2021-02-21,9
2021-02-28,54
