Week,Risikogebiet:
2020-03-01,3
2020-03-08,5
2020-03-15,5
2020-03-22,1
2020-03-29,1
2020-04-05,1
2020-04-12,<1
2020-04-19,<1
2020-04-26,<1
2020-05-03,0
2020-05-10,0
2020-05-17,<1
2020-05-24,0
2020-05-31,0
2020-06-07,<1
2020-06-14,1
2020-06-21,2
2020-06-28,1
2020-07-05,1
2020-07-12,3
2020-07-19,4
2020-07-26,8
2020-08-02,10
2020-08-09,15
2020-08-16,15
2020-08-23,19
2020-08-30,14
2020-09-06,12
2020-09-13,43
2020-09-20,42
2020-09-27,43
2020-10-04,86
2020-10-11,100
2020-10-18,42
2020-10-25,15
2020-11-01,6
2020-11-08,5
2020-11-15,5
2020-11-22,5
2020-11-29,5
2020-12-06,4
2020-12-13,8
2020-12-20,4
2020-12-27,4
2021-01-03,5
2021-01-10,4
2021-01-17,3
2021-01-24,2
2021-01-31,2
2021-02-07,2
2021-02-14,3
2021-02-21,3
2021-02-28,2
