Week,Schnelltest
2020-03-01,3
2020-03-08,7
2020-03-15,7
2020-03-22,10
2020-03-29,7
2020-04-05,3
2020-04-12,2
2020-04-19,7
2020-04-26,2
2020-05-03,2
2020-05-10,3
2020-05-17,2
2020-05-24,3
2020-05-31,1
2020-06-07,1
2020-06-14,3
2020-06-21,2
2020-06-28,2
2020-07-05,1
2020-07-12,2
2020-07-19,2
2020-07-26,2
2020-08-02,3
2020-08-09,3
2020-08-16,3
2020-08-23,3
2020-08-30,2
2020-09-06,4
2020-09-13,2
2020-09-20,6
2020-09-27,7
2020-10-04,13
2020-10-11,17
2020-10-18,16
2020-10-25,21
2020-11-01,22
2020-11-08,23
2020-11-15,25
2020-11-22,22
2020-11-29,26
2020-12-06,40
2020-12-13,75
2020-12-20,88
2020-12-27,31
2021-01-03,23
2021-01-10,22
2021-01-17,22
2021-01-24,22
2021-01-31,19
2021-02-07,19
2021-02-14,25
2021-02-21,35
2021-02-28,100
