Week,Schule:
2020-03-01,41
2020-03-08,93
2020-03-15,45
2020-03-22,35
2020-03-29,36
2020-04-05,35
2020-04-12,100
2020-04-19,51
2020-04-26,64
2020-05-03,67
2020-05-10,40
2020-05-17,33
2020-05-24,35
2020-05-31,38
2020-06-07,37
2020-06-14,38
2020-06-21,36
2020-06-28,20
2020-07-05,20
2020-07-12,18
2020-07-19,20
2020-07-26,26
2020-08-02,50
2020-08-09,64
2020-08-16,51
2020-08-23,60
2020-08-30,45
2020-09-06,40
2020-09-13,44
2020-09-20,41
2020-09-27,42
2020-10-04,39
2020-10-11,22
2020-10-18,33
2020-10-25,47
2020-11-01,43
2020-11-08,49
2020-11-15,47
2020-11-22,45
2020-11-29,34
2020-12-06,61
2020-12-13,51
2020-12-20,19
2020-12-27,22
2021-01-03,94
2021-01-10,41
2021-01-17,45
2021-01-24,46
2021-01-31,46
2021-02-07,76
2021-02-14,45
2021-02-21,39
2021-02-28,53
