Week,Sektor
2020-03-01,52
2020-03-08,31
2020-03-15,43
2020-03-22,31
2020-03-29,30
2020-04-05,54
2020-04-12,58
2020-04-19,69
2020-04-26,55
2020-05-03,68
2020-05-10,31
2020-05-17,20
2020-05-24,51
2020-05-31,62
2020-06-07,64
2020-06-14,19
2020-06-21,13
2020-06-28,27
2020-07-05,7
2020-07-12,44
2020-07-19,52
2020-07-26,15
2020-08-02,43
2020-08-09,20
2020-08-16,35
2020-08-23,42
2020-08-30,14
2020-09-06,78
2020-09-13,14
2020-09-20,28
2020-09-27,41
2020-10-04,42
2020-10-11,0
2020-10-18,36
2020-10-25,56
2020-11-01,26
2020-11-08,41
2020-11-15,61
2020-11-22,41
2020-11-29,61
2020-12-06,54
2020-12-13,27
2020-12-20,62
2020-12-27,15
2021-01-03,47
2021-01-10,58
2021-01-17,58
2021-01-24,78
2021-01-31,32
2021-02-07,100
2021-02-14,53
2021-02-21,20
2021-02-28,33
