Week,Staat:
2020-03-01,55
2020-03-08,51
2020-03-15,98
2020-03-22,100
2020-03-29,78
2020-04-05,86
2020-04-12,72
2020-04-19,72
2020-04-26,76
2020-05-03,70
2020-05-10,57
2020-05-17,74
2020-05-24,67
2020-05-31,87
2020-06-07,46
2020-06-14,52
2020-06-21,48
2020-06-28,64
2020-07-05,51
2020-07-12,35
2020-07-19,49
2020-07-26,45
2020-08-02,50
2020-08-09,39
2020-08-16,44
2020-08-23,51
2020-08-30,52
2020-09-06,66
2020-09-13,64
2020-09-20,39
2020-09-27,68
2020-10-04,56
2020-10-11,53
2020-10-18,44
2020-10-25,56
2020-11-01,83
2020-11-08,57
2020-11-15,68
2020-11-22,57
2020-11-29,72
2020-12-06,77
2020-12-13,52
2020-12-20,41
2020-12-27,44
2021-01-03,59
2021-01-10,81
2021-01-17,75
2021-01-24,65
2021-01-31,88
2021-02-07,69
2021-02-14,71
2021-02-21,76
2021-02-28,73
