Week,Umkreis:
2020-03-01,23
2020-03-08,32
2020-03-15,36
2020-03-22,28
2020-03-29,23
2020-04-05,19
2020-04-12,39
2020-04-19,50
2020-04-26,35
2020-05-03,20
2020-05-10,30
2020-05-17,21
2020-05-24,39
2020-05-31,48
2020-06-07,50
2020-06-14,44
2020-06-21,17
2020-06-28,44
2020-07-05,34
2020-07-12,36
2020-07-19,50
2020-07-26,66
2020-08-02,39
2020-08-09,28
2020-08-16,58
2020-08-23,20
2020-08-30,43
2020-09-06,46
2020-09-13,40
2020-09-20,36
2020-09-27,31
2020-10-04,49
2020-10-11,26
2020-10-18,33
2020-10-25,48
2020-11-01,16
2020-11-08,46
2020-11-15,22
2020-11-22,24
2020-11-29,31
2020-12-06,28
2020-12-13,32
2020-12-20,17
2020-12-27,31
2021-01-03,100
2021-01-10,69
2021-01-17,37
2021-01-24,29
2021-01-31,29
2021-02-07,17
2021-02-14,30
2021-02-21,28
2021-02-28,34
