Week,Verlängerung:
2020-03-01,12
2020-03-08,10
2020-03-15,7
2020-03-22,13
2020-03-29,19
2020-04-05,14
2020-04-12,19
2020-04-19,15
2020-04-26,43
2020-05-03,17
2020-05-10,14
2020-05-17,16
2020-05-24,17
2020-05-31,18
2020-06-07,10
2020-06-14,14
2020-06-21,12
2020-06-28,14
2020-07-05,16
2020-07-12,12
2020-07-19,14
2020-07-26,13
2020-08-02,14
2020-08-09,11
2020-08-16,14
2020-08-23,17
2020-08-30,16
2020-09-06,13
2020-09-13,14
2020-09-20,12
2020-09-27,16
2020-10-04,11
2020-10-11,15
2020-10-18,10
2020-10-25,14
2020-11-01,10
2020-11-08,20
2020-11-15,17
2020-11-22,23
2020-11-29,17
2020-12-06,12
2020-12-13,18
2020-12-20,15
2020-12-27,44
2021-01-03,100
2021-01-10,35
2021-01-17,57
2021-01-24,20
2021-01-31,43
2021-02-07,75
2021-02-14,18
2021-02-21,24
2021-02-28,44
