Week,Verordnung:
2020-03-01,10
2020-03-08,12
2020-03-15,17
2020-03-22,25
2020-03-29,31
2020-04-05,35
2020-04-12,34
2020-04-19,48
2020-04-26,47
2020-05-03,66
2020-05-10,49
2020-05-17,24
2020-05-24,38
2020-05-31,31
2020-06-07,27
2020-06-14,28
2020-06-21,42
2020-06-28,30
2020-07-05,26
2020-07-12,28
2020-07-19,26
2020-07-26,22
2020-08-02,20
2020-08-09,28
2020-08-16,21
2020-08-23,37
2020-08-30,22
2020-09-06,26
2020-09-13,30
2020-09-20,34
2020-09-27,37
2020-10-04,38
2020-10-11,67
2020-10-18,59
2020-10-25,98
2020-11-01,53
2020-11-08,39
2020-11-15,45
2020-11-22,37
2020-11-29,49
2020-12-06,45
2020-12-13,100
2020-12-20,47
2020-12-27,29
2021-01-03,94
2021-01-10,67
2021-01-17,93
2021-01-24,49
2021-01-31,27
2021-02-07,32
2021-02-14,33
2021-02-21,33
2021-02-28,50
