Week,Versammlungen:
2020-03-01,10
2020-03-08,9
2020-03-15,54
2020-03-22,63
2020-03-29,0
2020-04-05,39
2020-04-12,19
2020-04-19,46
2020-04-26,27
2020-05-03,100
2020-05-10,27
2020-05-17,48
2020-05-24,56
2020-05-31,27
2020-06-07,84
2020-06-14,46
2020-06-21,20
2020-06-28,38
2020-07-05,10
2020-07-12,11
2020-07-19,11
2020-07-26,0
2020-08-02,11
2020-08-09,20
2020-08-16,10
2020-08-23,30
2020-08-30,0
2020-09-06,10
2020-09-13,10
2020-09-20,20
2020-09-27,10
2020-10-04,20
2020-10-11,32
2020-10-18,32
2020-10-25,31
2020-11-01,9
2020-11-08,20
2020-11-15,20
2020-11-22,20
2020-11-29,10
2020-12-06,0
2020-12-13,10
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,9
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,10
2021-02-21,0
2021-02-28,10
