Week,Wort:
2020-03-01,67
2020-03-08,60
2020-03-15,69
2020-03-22,91
2020-03-29,84
2020-04-05,66
2020-04-12,65
2020-04-19,87
2020-04-26,84
2020-05-03,74
2020-05-10,71
2020-05-17,72
2020-05-24,75
2020-05-31,77
2020-06-07,72
2020-06-14,77
2020-06-21,65
2020-06-28,66
2020-07-05,63
2020-07-12,62
2020-07-19,57
2020-07-26,56
2020-08-02,58
2020-08-09,56
2020-08-16,65
2020-08-23,68
2020-08-30,68
2020-09-06,58
2020-09-13,72
2020-09-20,76
2020-09-27,74
2020-10-04,70
2020-10-11,68
2020-10-18,70
2020-10-25,73
2020-11-01,65
2020-11-08,74
2020-11-15,72
2020-11-22,69
2020-11-29,70
2020-12-06,76
2020-12-13,77
2020-12-20,61
2020-12-27,63
2021-01-03,60
2021-01-10,100
2021-01-17,91
2021-01-24,90
2021-01-31,95
2021-02-07,100
2021-02-14,100
2021-02-21,98
2021-02-28,87
