,Week,covid,Schnelltest,Betreuung,Einrichtungen,Sektor,Behörde,Aufenthaltsort,Infektionsschutzgesetz,Hygiene,Vermeidung,Personen,Behinderung,des Infektionsschutzgesetzes:,Menschen:,Quarantäne:,Wohnformen:,Feuerwehrtechnischen:,Dienstes:,Laufbahngruppe:,Hochschule:,Rektorat,Hochschulgesetz:,geändert:,Verordnung:,Angabe:,Wort:,Aufnahme:,Mindestabstand:,Vorkehrungen:,Schule:,Entscheidung:,Person:,Besuche:,Gewährleistung:,Warteschlangen:,Mindeststandards:,1.5 Meter:,angefügt:,Anforderungen:,Staatengruppe:,Einreise:,Staat:,entgegen:,betreibt:,Regelungen:,Gruppen:,Coronaschutzverordnung:,NRW:,Berufsordnung:,Hebammen:,Entbindungspfleger:,Nutzung:,Kinder:,Stunden:,Gesundheitsamt:,öffentlichen:,Betrieb:,öffnet:,durchführt:,Zeugnis:,Robert Koch-Institut:,Rückverfolgbarkeit:,Coronaeinreiseverordnung:,unverzüglich:,Kindertageseinrichtungen:,Beschäftigte:,zuständigen:,Verpflichtungen:,Infektionsgeschehen:,Coronavirus:,SARS-CoV-2:,Großbetrieb:,Fleischwirtschaft:,Risikogebiet:,Teilnehmern:,7-Tages-Inzidenz:,Fest:,Schutzmaßnahmen:,Veranstaltungen:,Versammlungen:,Mund-Nase-Bedeckung:,Mitglied:,Gremium:,zulässig:,Getränken:,23 Uhr:,6 Uhr:,Akademische:,Verlängerung:,verlängert:,Alltagsmaske:,Speisen:,Verkaufsstelle:,Umkreis:,Produktion:,Gesundheitsbehörde:,Kunden:,Testpflicht:,Gebiet:,Bewegungsradius:,Infektion:,Coronaregionalverordnung:,Maske:,Verpflichtung:,Klassen:,Coronabetreuungsverordnung:
0,2020-03-01,22,3,60,63,52,58,0,6,50,38,39,64,0,60,25,65,0,76,16,76,0,21,53,10,53,67,56,9,70,41,16,64,20,52,34,0,27,0,78,0,10,55,43,62,9,55,0,53,0,48,0,57,73,67,34,36,38,14,92,21,0,0,0,82,27,46,0,0,0,57,69,0,0,3,18,0,69,23,46,10,0,79,37,78,0,7,82,0,12,7,0,65,100,23,61,0,63,0,67,0,40,0,7,0,52,0
1,2020-03-08,63,7,81,70,31,34,0,12,56,36,46,51,0,75,72,0,0,24,30,93,48,20,36,12,23,60,83,27,0,93,28,53,34,53,0,0,0,0,69,0,100,51,8,0,10,57,0,99,46,39,0,33,66,63,67,62,50,18,0,21,27,0,0,15,100,100,22,20,0,91,40,0,44,5,17,0,44,36,100,9,0,54,12,33,23,7,61,33,10,8,0,30,47,32,66,93,51,0,57,0,53,0,8,14,30,0
2,2020-03-15,100,7,100,100,43,68,0,37,100,72,38,45,90,100,100,0,0,0,0,63,0,20,37,17,51,69,51,81,100,45,26,63,63,41,0,0,26,0,48,0,54,98,49,30,43,72,0,100,0,22,0,48,66,64,100,57,100,22,86,16,27,0,0,31,75,85,45,0,0,100,79,0,0,5,67,0,54,72,21,54,0,51,23,33,0,21,76,16,7,19,0,24,47,36,100,18,90,0,41,0,100,0,15,20,42,0
3,2020-03-22,94,10,71,35,31,58,0,21,74,0,55,46,44,90,67,31,0,72,45,43,48,20,68,25,59,91,55,89,0,35,53,65,53,45,0,0,25,0,69,0,18,100,32,29,61,58,2,80,0,100,0,94,74,78,52,59,50,22,0,14,27,0,0,61,0,92,0,20,0,72,54,86,0,1,100,0,55,100,9,63,0,92,23,46,22,21,38,0,13,35,0,54,46,28,82,37,100,0,37,0,54,0,16,27,36,0
4,2020-03-29,87,7,44,54,30,46,32,14,35,53,61,32,88,77,36,0,0,48,15,57,96,20,54,31,55,84,64,53,33,36,25,65,55,53,0,0,75,0,50,0,12,78,8,0,7,81,3,58,90,39,0,100,82,65,35,58,62,25,84,6,13,0,0,15,0,56,0,0,0,60,19,0,0,1,83,0,62,7,8,0,0,38,23,39,0,0,53,49,19,100,0,42,0,23,69,18,68,0,27,0,34,0,25,60,32,0
5,2020-04-05,78,3,48,70,54,50,0,10,35,0,43,49,0,63,30,33,0,0,33,38,52,21,44,35,35,66,72,58,0,35,15,60,77,49,0,0,27,0,63,0,17,86,26,96,26,57,4,53,0,48,0,27,82,61,25,58,36,45,93,13,14,0,0,33,81,61,0,43,0,56,43,94,0,1,0,0,75,31,12,39,0,55,12,65,0,0,33,71,14,60,0,13,51,19,65,0,67,0,46,0,38,0,22,51,41,0
6,2020-04-12,62,2,61,57,58,52,33,10,57,55,42,35,0,59,18,32,0,25,31,54,50,20,51,34,61,65,50,92,0,100,100,61,32,38,100,0,0,0,35,0,16,72,42,61,47,70,8,82,0,64,0,66,77,53,21,35,41,81,0,12,14,0,0,32,52,74,46,0,0,48,26,90,45,<1,35,0,65,60,18,19,0,74,24,41,0,22,8,51,19,88,35,31,49,39,66,19,51,0,21,0,35,0,25,28,86,0
7,2020-04-19,59,7,61,65,69,34,0,8,71,36,51,69,90,67,16,0,100,0,15,68,49,0,82,48,42,87,80,36,66,51,25,73,75,54,33,0,0,91,64,0,16,72,41,0,31,69,6,69,93,74,0,57,83,65,20,57,42,100,0,16,0,0,0,0,0,43,0,20,0,33,25,0,0,<1,0,0,54,58,11,46,0,60,35,40,45,14,23,100,15,27,85,61,0,50,84,0,81,0,37,0,22,0,69,14,47,15
8,2020-04-26,53,2,38,30,55,46,31,5,60,71,63,61,0,72,17,0,0,48,30,57,0,0,45,47,68,84,73,53,0,64,30,73,80,73,0,0,100,0,68,0,19,76,40,0,35,61,13,73,0,44,0,70,78,60,19,74,48,64,0,10,0,0,0,0,0,77,22,39,0,28,15,0,0,<1,0,0,47,85,7,27,0,53,34,72,44,21,68,16,43,65,100,42,0,35,55,37,62,0,25,0,24,0,55,13,100,0
9,2020-05-03,49,2,54,45,68,59,32,20,73,0,68,70,0,65,15,31,0,48,46,54,0,20,64,66,60,74,100,90,33,67,31,61,100,66,33,0,51,0,80,0,27,70,49,30,75,47,26,98,0,45,0,72,75,67,17,52,52,89,0,17,0,0,12,62,25,50,0,40,0,27,10,0,44,0,17,0,70,29,13,100,0,48,0,60,0,7,69,0,17,37,17,43,94,20,69,0,73,0,28,0,28,0,27,14,59,15
