Week,covid
2020-03-01,22
2020-03-08,63
2020-03-15,100
2020-03-22,94
2020-03-29,87
2020-04-05,78
2020-04-12,62
2020-04-19,59
2020-04-26,53
2020-05-03,49
2020-05-10,45
2020-05-17,43
2020-05-24,43
2020-05-31,33
2020-06-07,34
2020-06-14,38
2020-06-21,41
2020-06-28,40
2020-07-05,35
2020-07-12,38
2020-07-19,38
2020-07-26,45
2020-08-02,46
2020-08-09,46
2020-08-16,54
2020-08-23,47
2020-08-30,41
2020-09-06,44
2020-09-13,41
2020-09-20,50
2020-09-27,49
2020-10-04,67
2020-10-11,76
2020-10-18,82
2020-10-25,91
2020-11-01,61
2020-11-08,61
2020-11-15,60
2020-11-22,50
2020-11-29,53
2020-12-06,65
2020-12-13,74
2020-12-20,72
2020-12-27,65
2021-01-03,65
2021-01-10,65
2021-01-17,59
2021-01-24,55
2021-01-31,50
2021-02-07,45
2021-02-14,48
2021-02-21,54
2021-02-28,52
