Week,des Infektionsschutzgesetzes:
2020-03-01,0
2020-03-08,0
2020-03-15,90
2020-03-22,44
2020-03-29,88
2020-04-05,0
2020-04-12,0
2020-04-19,90
2020-04-26,0
2020-05-03,0
2020-05-10,89
2020-05-17,47
2020-05-24,0
2020-05-31,0
2020-06-07,0
2020-06-14,45
2020-06-21,48
2020-06-28,0
2020-07-05,50
2020-07-12,53
2020-07-19,0
2020-07-26,0
2020-08-02,52
2020-08-09,49
2020-08-16,0
2020-08-23,50
2020-08-30,99
2020-09-06,52
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,100
2020-11-15,99
2020-11-22,0
2020-11-29,0
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,93
2021-01-17,0
2021-01-24,0
2021-01-31,46
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,0
