Week,entgegen:
2020-03-01,43
2020-03-08,8
2020-03-15,49
2020-03-22,32
2020-03-29,8
2020-04-05,26
2020-04-12,42
2020-04-19,41
2020-04-26,40
2020-05-03,49
2020-05-10,32
2020-05-17,34
2020-05-24,49
2020-05-31,49
2020-06-07,17
2020-06-14,25
2020-06-21,17
2020-06-28,69
2020-07-05,36
2020-07-12,10
2020-07-19,39
2020-07-26,29
2020-08-02,9
2020-08-09,26
2020-08-16,45
2020-08-23,100
2020-08-30,54
2020-09-06,37
2020-09-13,37
2020-09-20,55
2020-09-27,36
2020-10-04,36
2020-10-11,29
2020-10-18,9
2020-10-25,18
2020-11-01,25
2020-11-08,27
2020-11-15,72
2020-11-22,35
2020-11-29,35
2020-12-06,27
2020-12-13,61
2020-12-20,70
2020-12-27,38
2021-01-03,44
2021-01-10,59
2021-01-17,42
2021-01-24,25
2021-01-31,58
2021-02-07,53
2021-02-14,35
2021-02-21,36
2021-02-28,60
