Week,unverzüglich:
2020-03-01,82
2020-03-08,15
2020-03-15,31
2020-03-22,61
2020-03-29,15
2020-04-05,33
2020-04-12,32
2020-04-19,0
2020-04-26,0
2020-05-03,62
2020-05-10,31
2020-05-17,16
2020-05-24,80
2020-05-31,31
2020-06-07,48
2020-06-14,31
2020-06-21,84
2020-06-28,16
2020-07-05,17
2020-07-12,37
2020-07-19,37
2020-07-26,18
2020-08-02,0
2020-08-09,17
2020-08-16,17
2020-08-23,0
2020-08-30,0
2020-09-06,0
2020-09-13,0
2020-09-20,35
2020-09-27,34
2020-10-04,0
2020-10-11,0
2020-10-18,72
2020-10-25,35
2020-11-01,16
2020-11-08,17
2020-11-15,34
2020-11-22,100
2020-11-29,34
2020-12-06,50
2020-12-13,0
2020-12-20,19
2020-12-27,18
2021-01-03,34
2021-01-10,16
2021-01-17,16
2021-01-24,16
2021-01-31,32
2021-02-07,33
2021-02-14,17
2021-02-21,0
2021-02-28,0
