Week,verlängert:
2020-03-01,7
2020-03-08,8
2020-03-15,19
2020-03-22,35
2020-03-29,100
2020-04-05,60
2020-04-12,88
2020-04-19,27
2020-04-26,65
2020-05-03,37
2020-05-10,48
2020-05-17,39
2020-05-24,36
2020-05-31,29
2020-06-07,34
2020-06-14,21
2020-06-21,11
2020-06-28,28
2020-07-05,38
2020-07-12,30
2020-07-19,17
2020-07-26,27
2020-08-02,19
2020-08-09,29
2020-08-16,19
2020-08-23,44
2020-08-30,23
2020-09-06,24
2020-09-13,9
2020-09-20,23
2020-09-27,25
2020-10-04,33
2020-10-11,20
2020-10-18,24
2020-10-25,21
2020-11-01,19
2020-11-08,32
2020-11-15,25
2020-11-22,40
2020-11-29,27
2020-12-06,29
2020-12-13,24
2020-12-20,15
2020-12-27,47
2021-01-03,97
2021-01-10,41
2021-01-17,26
2021-01-24,28
2021-01-31,75
2021-02-07,65
2021-02-14,18
2021-02-21,16
2021-02-28,37
