Week,zulässig:
2020-03-01,78
2020-03-08,33
2020-03-15,33
2020-03-22,46
2020-03-29,39
2020-04-05,65
2020-04-12,41
2020-04-19,40
2020-04-26,72
2020-05-03,60
2020-05-10,100
2020-05-17,49
2020-05-24,55
2020-05-31,20
2020-06-07,21
2020-06-14,61
2020-06-21,36
2020-06-28,28
2020-07-05,45
2020-07-12,32
2020-07-19,48
2020-07-26,31
2020-08-02,46
2020-08-09,44
2020-08-16,52
2020-08-23,52
2020-08-30,53
2020-09-06,53
2020-09-13,53
2020-09-20,45
2020-09-27,30
2020-10-04,45
2020-10-11,64
2020-10-18,63
2020-10-25,53
2020-11-01,21
2020-11-08,51
2020-11-15,52
2020-11-22,29
2020-11-29,73
2020-12-06,51
2020-12-13,36
2020-12-20,33
2020-12-27,8
2021-01-03,73
2021-01-10,63
2021-01-17,69
2021-01-24,62
2021-01-31,41
2021-02-07,58
2021-02-14,43
2021-02-21,37
2021-02-28,42
