Week,zuständigen:
2020-03-01,0
2020-03-08,22
2020-03-15,45
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,46
2020-04-19,0
2020-04-26,22
2020-05-03,0
2020-05-10,67
2020-05-17,24
2020-05-24,46
2020-05-31,45
2020-06-07,23
2020-06-14,0
2020-06-21,0
2020-06-28,23
2020-07-05,25
2020-07-12,0
2020-07-19,0
2020-07-26,0
2020-08-02,0
2020-08-09,0
2020-08-16,76
2020-08-23,50
2020-08-30,0
2020-09-06,51
2020-09-13,25
2020-09-20,76
2020-09-27,100
2020-10-04,25
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,46
2020-11-08,0
2020-11-15,25
2020-11-22,49
2020-11-29,49
2020-12-06,24
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,49
2021-01-10,47
2021-01-17,46
2021-01-24,0
2021-01-31,46
2021-02-07,0
2021-02-14,24
2021-02-21,0
2021-02-28,0
