Week,öffentlichen:
2020-03-01,36
2020-03-08,62
2020-03-15,57
2020-03-22,59
2020-03-29,58
2020-04-05,58
2020-04-12,35
2020-04-19,57
2020-04-26,74
2020-05-03,52
2020-05-10,65
2020-05-17,44
2020-05-24,67
2020-05-31,54
2020-06-07,56
2020-06-14,47
2020-06-21,56
2020-06-28,40
2020-07-05,35
2020-07-12,62
2020-07-19,46
2020-07-26,43
2020-08-02,36
2020-08-09,62
2020-08-16,44
2020-08-23,52
2020-08-30,76
2020-09-06,53
2020-09-13,67
2020-09-20,85
2020-09-27,81
2020-10-04,82
2020-10-11,71
2020-10-18,85
2020-10-25,100
2020-11-01,64
2020-11-08,54
2020-11-15,43
2020-11-22,56
2020-11-29,51
2020-12-06,48
2020-12-13,47
2020-12-20,39
2020-12-27,40
2021-01-03,48
2021-01-10,59
2021-01-17,53
2021-01-24,67
2021-01-31,48
2021-02-07,61
2021-02-14,72
2021-02-21,37
2021-02-28,38
