Week,öffnet:
2020-03-01,14
2020-03-08,18
2020-03-15,22
2020-03-22,22
2020-03-29,25
2020-04-05,45
2020-04-12,81
2020-04-19,100
2020-04-26,64
2020-05-03,89
2020-05-10,53
2020-05-17,54
2020-05-24,50
2020-05-31,53
2020-06-07,43
2020-06-14,33
2020-06-21,25
2020-06-28,22
2020-07-05,27
2020-07-12,28
2020-07-19,28
2020-07-26,24
2020-08-02,23
2020-08-09,28
2020-08-16,24
2020-08-23,23
2020-08-30,21
2020-09-06,16
2020-09-13,22
2020-09-20,23
2020-09-27,22
2020-10-04,16
2020-10-11,16
2020-10-18,14
2020-10-25,23
2020-11-01,24
2020-11-08,23
2020-11-15,22
2020-11-22,20
2020-11-29,30
2020-12-06,23
2020-12-13,23
2020-12-20,29
2020-12-27,24
2021-01-03,18
2021-01-10,26
2021-01-17,22
2021-01-24,26
2021-01-31,27
2021-02-07,29
2021-02-14,34
2021-02-21,50
2021-02-28,77
