Verordnungsname,Kürzel,Veröffentlichung,Inkrafttretung,Außerkrafttretung,NRW Ministerium,wo gültig,nicht gestattete Aktivität,verpflichtende Aktivität,für wen gültig,Ausnahmen,Schlagwort(e),Begriff 1 (LEMMA,FREQUENCY,),Begriff 2 (Häufigkeit Platz 2),Begriff 3 (Häufigkeit Platz 3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zum Schutz vor Neuinfizierungen mit dem Coronavirus SARS-CoV-2 ,CoronaSchVO,22.03.20,23.03.20,10.05.20,Arbeit Gesundheit und Soziales,Stationäre Gesundheits- und Pflegeeinrichtungen, Freizeit-, Kultur-, Sport- und Vergnügungsstätten, Bibliotheken, Hochschulbibliotheken, Handel, Sonntagsöffnung, Handwerk, Dienstleistungsgewerbe, Beherbergung, Tourismus, Gastronomie, Einkaufszentren ,Veranstaltungen, Versammlungen, Gottesdienste, Beerdigungen, Ansammlungen, Aufenthalt im öffentlichen Raum,,Reiserückkehrer aus Risikogebieten,Bevölkerung,,Grundversorgung, RKI-Richtlinien, Schutzauflagen, Besucherregistrierung, Kontaktdaten, Besucherzahl, Mindestabstände, Hygienemaßnahmen, 2 Meter, kontaktfrei, Umkreis von 50 Metern, Steuerung des Zutritts, Vermeidung von Warteschlangen, Gewährleistung des Mindestabstandes von 1,5 Metern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronaschutzverordnung,CoronaSchVO,30.03.20,31.03.20,19.04.20,Arbeit Gesundheit und Soziales,Gemeinschaftseinrichtungen, Krankenhäuser, Vorsorge- und Rehabilitationseinrichungen, Dialyseeinrichtungen, Tageseinrichtungen, stationäre Einrichtungen der Pflege und der Eingliederungshilfe, besondere Wohnformen im Sinne des SGB XII sowie ähnliche Einrichtungen, Berufsschulen, Hochschulen, Bars, Clubs, Diskotheken, Theater, Opernhäuser, Konzerthäuser, Kinos, Museen, Messen, Ausstellungen, Freizeit- und Tierparks, Spezialmärkte, Fitness-Studios, Sonnenstudios, Schwimmbäder, Spaßbäder, Saunen, Spielhallen, Spielbanken, Wettbüros, Prostitutionsstätten, Bordelle, öffentliche und private Sportanlagen, Friseure, Nagelstudios, Tätowierer, Massagesalons, Restaurants, Gaststätten, Imbisse, Mensen, Kantinen, Kneipen, (Eis-)Cafés, Picknicken und Grillen auf öffentlichen Plätzen ,Vorträge, Lesungen, Informationsveranstaltungen, Sportbetrieb, Zusammenkünfte in Vereinen, Veranstaltungen, Versammlungen, Zusammenkünfte und Ansammlungen von mehr als 2 Personen, Angebote von Freizeitaktivitäten drinnen und draußen ,,Reiserückkehrer aus Risikogebieten,Bevölkerung,Training an den nordrhein-westfälischen Bundesstützpunkten,Einzelhandel für Lebensmittel, Direktvermarktung von landwirtschaftlichen Betrieben, Abhol- und Lieferdienste, Getränkemärkte, Apotheken, Sanitätshäuser, Drogerien, Tankstellen, Banken, Sparkassen, Poststellen, Reinigungen, Waschsalons, Kioske, Zeitungsverkaufsstellen, Tierbedarfsmärkte, Einrichtungen des Großhandels, Wochenmärkte (Lebensmittel), Bau- und Gartenbaumärkte zur Versorgung von Handwerkern und Gewerbetreibenden, Floristen, Versandhandel, kontaktfreie Abholung bestellter Waren, gesundheitsorientierte Handwerksleistungen: Augenoptiker, Hörgeräteakustiker, orthopädische Schuhmacher, therapeutische Berufsausübung von Physio- und Ergotherapeuten auf Attest Verordnung Rezept, gewerbsmäßige Personenbeförderung, Heilberufe mit Approbation, ambulante Pflege, Belieferung und Außer-Haus-Verkauf mit Speisen und Getränken, Zusammenkünfte mit Verwandten in gerade Linie, Zusammenkünfte mit Ehegatten Lebenspartnern sowie in häuslicher Gemeinschaft lebende Personen, Begleitung minderjähriger und untersstützungsbedürftiger Personen, zwingend notwendige Zusammenkünfte aus geschäftlichen beruflichen und dienstlichen sowie aus prüfungs- und betreuungsrelevanten Gründen, Nutzung des öffentlichen Personennahverkehrs ,Schutzmaßnahmen, Gewährleistung des Mindestabstands von 1,5 Metern, Gewährleistung des Mindestabstands von 1,5 Metern, kontaktarm, Außer-Haus-Verkauf, Betretungsverbot, persönliche Schutzausrüstung, kontaktfrei, Vermeidung von Warteschlangen, zehn Quadratmeter der für Kunden zugänglichen Ladenfläche, im Umkreis von 50 Metern um eine gastronomische Einrichtung, Steuerung des Zutritts, Besuchsverbot, Zutrittssteuerung, Zugangsbeschränkungen, Schutzvorkehrungen, Sicherstellung der Kontaktfreiheit, Vorkehrungen zur Hygiene  ,des Infektionsschutzgesetzes,16,Hygiene,13,Vermeidung,12
Coronabetreuungsverordnung,CoronaBetr,02.04.20,03.04.20,19.04.20,Arbeit Gesundheit und Soziales,Schulen, Ersatzschulen, Ergänzungsschulen, Kindertageseinrichtungen, Kindertagespflegestellen, Tages- und Nachtpflegeeinrichungen, Tagesstrukturierende Einrichtungen, Einrichtungen der beruflichen Rehabilitation, Berufsbildungswerke, Berufsförderungswerke, berufliche Trainingszentren, interdisziplinäre oder heilpädagogische Frühförderstellen, heilpädagogische Praxen, Autismuszentren,Schulbesuch,, Schüler der Klassen 7-13,Schüler der Klassen 1-6, Vor-Ort-Betreuung wegen Kindeswohlgefährdung Nutzerinnen und Nutzer, deren pflegerische oder soziale Betreuung für den Zeitraum, in dem sie sich normalerweise in der Werkstatt für behinderte Menschen (WfbM) aufhalten, nicht sichergestellt ist Rehabilitandinnen und Rehabilitanden, die einen intensiven und persönlichen Betreuungsaufwand benötigen, dem im häuslichen Rahmen nicht entsprochen werden kann Nutzerinnen und Nutzer von Tages- und Nachtpflegeeinrichtungen im Sinne des Elften Buches Sozialgesetzbuch , deren häusliche Versorgung bei Wegfall der teilstationären Pflege und Betreuung glaubhaft gefährdet wäre Sektor Energie Sektor Ernährung, Hygiene Sektor Informationstechnik und Telekommunikation Sektor Gesundheit veterinärmedizinische Notfallversorgung Sektor Finanz- und Wirtschaftswesen Sektor Transport und Verkehr Sektor Medien Sektor staatliche Verwaltung (Bund, Land, Kommune) Asyl- und Flüchtlingswesen einschließlich Abschiebungshaft, Verfassungsschutz, aufsichtliche Aufgaben, Finanzverwaltung sowie Hochschulen und sonstige wissenschaftlichen Einrichtungen, soweit sie für den Betrieb von sicherheitsrelevanten Einrichtungen oder unverzichtbaren Aufgaben zuständig sind, Sicherstellung notwendiger Betreuung in Schulen, Kindertageseinrichtungen, Kindertagespflege, stationären Einrichtungen der Kinder- und Jugendhilfe und Einrichtungen für Menschen mit Behinderung, notwendige Hilfe- und Schutzangebote der Kinder- und Jugendhilfe sowie Hilfe- und Schutzangebote für weitere schutzbedürftige Personen ,Vor-Ort-Betreuung, Notbetreuung, SchulMails, Empfehlungen des Robert-Koch-Instituts Home-Office, vulnerable Bevölkerungsgruppe,Schutzmaßnahmen kontaktreduzierende Maßnahmen, virtuelle Lernwelten, Kritische Infrastrukturen (KRITIS), Versorgungsengpässe ,Betreuung,14,Einrichtungen,13,Sektor,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zur Regelung von Neu- und Wiederaufnahmen in vollstationären Dauer- und Kurzzeitpflegeeinrichtungen sowie besonderen Wohnformen für Menschen mit Behinderungen einschließlich Kurzzeitwohneinrichtungen der Eingliederungshilfe zur Verhinderung der weiteren Ausbreitung von SARS-CoV-2,CoronaAufnahmeVO,03.04.20,03.04.20,,Arbeit Gesundheit und Soziales,,,,,,epidemische Lage nationaler Tragweite, Aufnahmekapazität, Anzeichen für einen Atemwegsinfekt, prioritäre Analyse der Probe, Isolations- und Quarantänebereiche,  Kohortenisolierung in Zimmern ,Menschen,11,Quarantäne- beziehungsweise Isolationsbereichen,7,Wohnformen,6,Behinderungen,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zur Gewährleistung der Ausbildungen im feuerwehrtechnischen Dienst ,Ausbildungsgewährleistungsverordnung,31.03.20,01.04.20,30.04.20,Ministerium des Innern im Einvernehmen mit dem Ministerium der Finanzen,,,,Beamtinnen und Beamten des feuerwehrtechnischen Dienstes im Land Nordrhein-Westfalen für die Ausbildungsjahrgänge, die im Zeitraum vom 1. April 2018 bis 1. April 2020 in den Vorbereitungsdienst oder in die Ausbildung eingestellt wurden oder werden,,E-Learning-Angebote, Videokonferenzen ,Feuerwehrtechnischen,17,Dienstes,15,Laufbahngruppe,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zum Schutz vor Neuinfizierungen mit dem Coronavirus SARS-CoV-2 in Bezug auf Ein- und Rückreisende,CoronaEinreiseVO,09.04.20,10.04.20,19.04.20,Arbeit Gesundheit und Soziales,,Besuch von Personen zu empfangen, die nicht dem Hausstand des Aufenthaltsorts angehören,verpflichtet, sich unverzüglich nach der Einreise auf direktem Weg in die eigene Häuslichkeit oder eine andere geeignete Unterkunft zu begeben und diesen Aufenthaltsort für einen Zeitraum von 14 Tagen nach ihrer Einreise in die Bundesrepublik Deutschland nicht zu verlassen; dies gilt auch für Personen, die zunächst in ein anderes Land der Bundesrepublik Deutschland eingereist sind; unverzüglich das für sie zuständige Gesundheitsamt zu kontaktieren und auf das Vorliegen der Verpflichtungen nach Absatz 1 hinzuweisen. Sie haben dem Gesundheitsamt Auskunft über ihren Gesundheitszustand zu geben und sind verpflichtet, das Gesundheitsamt beim Auftreten von Krankheitssymptomen unverzüglich zu kontaktieren,Personen, die auf dem Land-, See-, oder Luftweg aus einem Staat außerhalb der Bundesrepublik Deutschland in das Land Nordrhein-Westfalen einreisen und sich zuvor mehr als 72 Stunden im Ausland aufgehalten haben,Personen,  Personen, die beruflich bedingt grenzüberschreitend Personen, Waren oder Güter auf der Straße, der Schiene, per Schiff oder per Flugzeug transportieren deren Tätigkeit für die Aufrechterhaltung a)  der Funktionsfähigkeit des Gesundheitswesens, b)  der öffentlichen Sicherheit und Ordnung, c)  der Pflege diplomatischer und internationaler Beziehungen, d)  der Funktionsfähigkeit des Rechtswesens, e)  der Funktionsfähigkeit von Volksvertretung, Regierung und Verwaltung des Bundes, der Länder oder der Kommunen, f)  der Funktionsfähigkeit der Organe der Europäischen Union oder internationaler Organisationen  Mitarbeiter und Mitarbeiterinnen von Luft-, Schiffs-, Bahn-, oder Busverkehrsunternehmen oder als Besatzung von Flugzeugen, Schiffen, Bahnen und Bussen Personen, die täglich oder für bis zu 5 Tage durch ihren Beruf oder ihre Ausbildung veranlasst in das Bundesgebiet einreisen oder nach entsprechendem Aufenthalt im Ausland in das Bundesgebiet zurückkehren Personen, die einen sonstigen triftigen Reisegrund haben dringende medizinische Behandlungen Beistand oder Pflege schutzbedürftiger Personen Betreuung von Kindern Beerdigungen und Einäscherungen Teilnahme an zivilen oder religiösen Hochzeiten,triftiger Reisegrund, nicht unter gleichem Dach wohnender Lebenspartner,  betriebliche Hygienemaßnahmen, Vorkehrungen zur Kontaktvermeidung, COVID-19 ,Personen,12,Behörde,7,Aufenthaltsort,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zur Änderung von Rechtsverordnungen zum Schutz vor dem Coronavirus SARS-CoV-2,,16.04.20,16.04.20,20.04.20,Arbeit Gesundheit und Soziales,Stationäre Gesundheits- und Pflegeeinrichtungen, Freizeit-, Kultur-, Sport- und Vergnügungsstätten, Bibliotheken, Hochschulbibliotheken, Einkaufszentren, alle Schulen,Freizeitaktivitäten (drinnen und draußen), Spezialmärkte, Fitness-Studios, Sonnenstudios, Schwimmbäder, Spaßbäder, Saunen, Spiel- und Bolzplätze, Volkshochschulen, Musikschulen, sonstige öffentliche und private außerschulische Bildungseinrichtungen, Spielhallen, Spielbanken, Wettbüros und ähnliche Einrichtungen, Prostitutionsstätten, Bordelle, Übernachtungsangebote zu touristischen Zwecken , Reisebusreisen, Verzehr von Lebensmitteln in der Verkaufsstelle und in einem Umkreis von 50 Metern um die Verkaufsstelle (Lebensmittelgeschäft, Kiosk usw.) in der die Lebensmittel erworben wurden,  Versammlungen zur Religionsausübung, Zusammenkünfte und Ansammlungen im öffentlichen Raum von mehr als 2 Personen, Betreten von Tages- und Nachtpflegeeinrichutngen, Betreten von tagesstrukturierenden Einrichtungen der Eingliederungshilfe, Betreten von Einrichtungen der beruflichen Rehabilitation,,Reiserückkkehrer, Bürger von NRW,Autokinos, Fahrprüfung, Bibliotheken, Hochschulbibliotheken, Lebensmitteleinzelhandel, Abhol- und Lieferdienste, Getränkemarkt, Apotheke, Sanitätshaus, Drogerien, Tabkstellen, Banken, Sparkassen, Poststellen, Reinigungen, Waschsalons, Kiosks, Zeitungsverkaufsstellen, Buchhandlungen, Tierbedarfsmärkte, Bau- und Gartenbaumärkte, Einrichtungshäuser, Babyfachmärkte, Verkaufsstellen des Kraftfahrzeug- und des Fahrradhandels, Wochenmärkte, Einrichtungen des Großhandels,  reguläre Verkaufsfläche kleiner als 800 qm, Aufstellungsversammlungen zur Kommunalwahl,  Blutspendetermine, Lehr- und Praxisveranstaltungen und Prüfungen an Hochschulen, Prüfungen, durch die ein kirchlicher oder staatlicher Studiengang abgeschlossen wird, Erd- und Urnenbestattungen sowie Totengebete, Zusammenkünfte mit Verwandten in gerader Linie, Geschwistern, Ehegatten, Lebenspartnerinnen und Lebenspartnern, in häuslicher Gemeinschaft lebenden Personen, die Begleitung minderjähriger und unterstützungsbedürftiger Personen, zwingend notwendige Zusammenkünfte aus geschäftlichen, beruflichen und dienstlichen sowie aus prüfungs- und betreuungsrelevanten Gründen,,Schutzauflagen, Besucherregistrierung, Heimarbeit, Mindestabstand, besonderer Betreuungsbedarf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corona-Epidemie-Hochschulverordnung,,15.04.20,16.04.21,01.04.21,Kultur und Wissenschaft,,,,,,Online-Prüfungen, Präsenzlehre, Präsenzlehrveranstaltungen, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zur Bereinigung der Verordnung vom 16. April 2020,,17.04.20,18.04.20,,Arbeit Gesundheit und Soziales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zweite Verordnung zur Änderung der Verordnung zum Schutz vor Neuinfizierungen mit dem Coronavirus SARS-CoV-2 vom 24. April 2020,,24.04.20,27.04.20, 01.05.21,,Arbeit Gesundheit und Soziales,,,,,,Schutz vor Neuinfizierungen, textile Mund-Nasen-Bedeckung, Alltagsmaske, Plexiglas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zum Schutz vor Neuinfizierungen mit dem Coronavirus SARS-CoV-2 im Bereich der Betreuungsinfrastruktur vom 24. April 2020,,24.04.20,27.04.20, 01.05.21,,Arbeit Gesundheit und Soziales,,,,,,Eigenerklärung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
