Verordnungsname;Kürzel;Veröffentlichung;Inkrafttretung;Außerkrafttretung;NRW Ministerium;wo gültig;nicht gestattete Aktivität;verpflichtende Aktivität;für wen gültig;Ausnahmen;Schlagwort(e)
;;;;;;;;;;;
Coronaschutzverordnung;CoronaSchVO;30.03.2020;31.03.2020;19.04.2020;Arbeit, Gesundheit und Soziales;Gemeinschaftseinrichtungen;Vorträge;;Reiserückkehrer aus Risikogebieten;Training an den nordrhein-westfälischen Bundesstützpunkten ;Schutzmaßnahmen
;;;;;;Krankenhäuser;Lesungen;;Bevölkerung;Einzelhandel für Lebensmittel;Gewährleistung des Mindestabstands von 1,5 Metern 
;;;;;;Vorsorge- und Rehabilitationseinrichungen;Informationsveranstaltungen;;;Direktvermarktung von landwirtschaftlichen Betrieben;kontaktarm
;;;;;;Dialyseeinrichtungen;Sportbetrieb;;;Abhol- und Lieferdienste;Außer-Haus-Verkauf
;;;;;;Tageseinrichtungen;Zusammenkünfte in Vereinen;;;Getränkemärkte;Betretungsverbot
;;;;;;stationäre Einrichtungen der Pflege und der Eingliederungshilfe;Veranstaltungen;;;Apotheken;persönliche Schutzausrüstung
;;;;;;besondere Wohnformen im Sinne des SGB XII sowie ähnliche Einrichtungen;Versammlungen;;;Sanitätshäuser;kontaktfrei
;;;;;;Berufsschulen;Zusammenkünfte und Ansammlungen von mehr als 2 Personen ;;;Drogerien;Vermeidung von Warteschlaangen
;;;;;;Hochschulen;;;;Tankstellen;zehn Quadratmeter der für Kunden zugänglichen Ladenfläche
;;;;;;Bars;;;;Banken;im Umkreis von 50 Metern um eine gastronomische Einrichtung
;;;;;;Clubs;;;;Sparkassen;Steuerung des Zutritts
;;;;;;Diskotheken;;;;Poststellen;Besuchsverbot
;;;;;;Theater;;;;Reinigungen;Zutrittssteuerung
;;;;;;Opernhäuser;;;;Waschsalons;Zugangsbeschränkungen
;;;;;;Konzerthäuser;;;;Kioske;Schutzvorkehrungen
;;;;;;Kinos;;;;Zeitungsverkaufsstellen;Sicherstellung der Kontaktfreiheit
;;;;;;Museen;;;;Tierbedarfsmärkte;Vorkehrungen zur Hygiene
;;;;;;Messen;;;;Einrichtungen des Großhandels;
;;;;;;Ausstellungen;;;;Wochenmärkte (Lebensmittel);
;;;;;;Freizeit- und Tierparks;;;;Bau- und Gartenbaumärkte zur Versorgung von Handwerkern und Gewerbetreibenden;
;;;;;;Spezialmärkte;Angebote von Freizeitaktivitäten drinnen und draußen;;;Floristen;
;;;;;;Fitness-Studios;;;;Versandhandel;
;;;;;;Sonnenstudios;;;;kontaktfreie Abholung bestellter Waren;
;;;;;;Schwimmbäder;;;;gesundheitsorientierte Handwerksleistungen: Augenoptiker;
;;;;;;Spaßbäder;;;;Hörgeräteakustiker;
;;;;;;Saunen;;;;orthopädische Schuhmacher;
;;;;;;Spielhallen;;;;therapeutische Berufsausübung von Physio- und Ergotherapeuten auf Attest, Verordnung, Reezept;
;;;;;;Spielbanken;;;;gewerbsmäßige Personenbeförderung;
;;;;;;Wettbüros;;;;Heilberufe mit Approbation;
;;;;;;Prostitutionsstätten;;;;ambulante Pflege;
;;;;;;Bordelle;;;;Belieferung und Außer-Haus-Verkauf mit Speisen und Getränken;
;;;;;;öffentliche und private Sportanlagen;;;;Zusammenkünfte mit Verwandten in gerade Linie;
;;;;;;Friseure;;;;Zusammenkünfte mit Ehegatten, Lebenspartnern sowie in häuslicher Gemeinschaft lebende Personen;
;;;;;;Nagelstudios;;;;Begleitung minderjähriger und untersstützungsbedürftiger Personen;
;;;;;;Tätowierer;;;;zwingend notwendige Zusammenkünfte aus geschäftlichen, beruflichen und dienstlichen ssowie aus prüfungs- und betreuungsrelevanten Gründen;
;;;;;;Massagesalons;;;;Nutzung des öffentlichen Personennahverkehrs;
;;;;;;Restaurants;;;;;
;;;;;;Gaststätten;;;;;
;;;;;;Imbissse;;;;;
;;;;;;Mensen;;;;;
;;;;;;Kantinen;;;;;
;;;;;;Kneipen;;;;;
;;;;;;(Eis-)Cafés;;;;;
;;;;;;Picknicken und Grillen auf öffentlichen Plätzen;;;;;
;;;;;;;;;;;
